Date,Station,AWND,PRCP,SNOW,TMAX,TMIN
20170101,DFW,26,18,0,189,61
20170101,ORD,22,0,0,44,-82
20170101,SFO,69,13,0,122,78
20170101,DEN,38,0,0,83,-88
20170102,DFW,43,127,0,228,122
20170102,ORD,28,28,0,44,-38
20170102,SFO,33,46,0,111,67
20170102,DEN,56,0,0,111,-93
20170103,DFW,71,0,0,161,39
20170103,ORD,45,0,0,39,-71
20170103,SFO,73,163,0,150,89
20170103,DEN,37,0,0,0,-121
20170104,DFW,38,0,0,44,0
20170104,ORD,76,0,0,-71,-138
20170104,SFO,48,124,0,150,83
20170104,DEN,39,25,38,-110,-155
20170105,DFW,62,0,0,44,-32
20170105,ORD,57,0,0,-105,-160
20170105,SFO,38,0,0,106,50
20170105,DEN,22,61,66,-149,-188
20170106,DFW,73,3,3,-27,-71
20170106,ORD,45,0,0,-127,-177
20170106,SFO,34,0,0,94,33
20170106,DEN,40,0,0,-66,-216
20170107,DFW,26,0,0,44,-99
20170107,ORD,48,0,0,-77,-177
20170107,SFO,58,213,0,167,67
20170107,DEN,31,0,0,-32,-166
20170108,DFW,46,0,0,94,-66
20170108,ORD,43,0,0,-71,-166
20170108,SFO,111,325,0,178,122
20170108,DEN,43,0,0,89,-110
20170109,DFW,83,0,0,206,22
20170109,ORD,58,5,5,6,-71
20170109,SFO,53,69,0,150,117
20170109,DEN,63,0,0,167,-5
20170110,DFW,60,0,0,261,139
20170110,ORD,104,51,0,106,-38
20170110,SFO,98,462,0,156,133
20170110,DEN,65,0,0,111,0
20170111,DFW,94,0,0,267,133
20170111,ORD,54,84,0,61,-38
20170111,SFO,50,10,0,144,100
20170111,DEN,56,0,0,133,-60
20170112,DFW,62,0,0,256,78
20170112,ORD,50,13,5,-21,-71
20170112,SFO,28,76,0,111,72
20170112,DEN,49,0,0,44,-77
20170113,DFW,48,51,0,94,50
20170113,ORD,40,0,0,-27,-88
20170113,SFO,21,0,0,139,44
20170113,DEN,17,0,0,39,-77
20170114,DFW,41,3,0,67,39
20170114,ORD,21,0,0,17,-60
20170114,SFO,22,0,0,144,44
20170114,DEN,26,0,0,56,-55
20170115,DFW,36,803,0,189,61
20170115,ORD,10,0,0,22,-66
20170115,SFO,12,0,0,111,50
20170115,DEN,26,0,0,17,-55
20170116,DFW,30,3,0,189,89
20170116,ORD,26,229,0,28,-10
20170116,SFO,35,0,0,122,67
20170116,DEN,47,51,56,17,-27
20170117,DFW,34,74,0,106,61
20170117,ORD,43,122,0,39,17
20170117,SFO,18,0,0,111,50
20170117,DEN,34,0,0,78,-82
20170118,DFW,32,30,0,122,89
20170118,ORD,43,0,0,22,-10
20170118,SFO,57,229,0,128,94
20170118,DEN,38,0,0,111,-60
20170119,DFW,53,0,0,194,89
20170119,ORD,30,117,0,56,-10
20170119,SFO,52,13,0,144,106
20170119,DEN,38,0,0,122,-55
20170120,DFW,55,0,0,256,83
20170120,ORD,26,46,0,61,33
20170120,SFO,58,302,0,133,61
20170120,DEN,34,0,0,72,-32
20170121,DFW,41,5,0,228,89
20170121,ORD,38,0,0,150,44
20170121,SFO,57,71,0,133,89
20170121,DEN,29,0,0,56,-71
20170122,DFW,83,0,0,189,89
20170122,ORD,24,3,0,78,33
20170122,SFO,52,173,0,139,83
20170122,DEN,35,0,0,83,-32
20170123,DFW,34,0,0,200,50
20170123,ORD,42,0,0,56,22
20170123,SFO,24,81,0,122,72
20170123,DEN,40,0,0,122,-49
20170124,DFW,47,0,0,267,72
20170124,ORD,32,0,0,33,11
20170124,SFO,23,0,0,122,50
